순서,전력,일시,습도(%),중하층운량(10분위),운형(운형약어)
1,170,2020-01-17 12:00,49,0,Ci
2,133,2020-01-17 13:00,46,0,Ci
3,139,2020-01-17 14:00,40,0,Ci
4,141,2020-01-17 15:00,36,0,Ci
5,140,2020-01-17 16:00,48,0,Ci
6,141,2020-01-17 17:00,51,0,Ci
7,142,2020-01-17 18:00,57,0,Ci
8,141,2020-01-17 19:00,59,5,Cb
9,136,2020-01-17 20:00,67,0,Cb
10,123,2020-01-17 21:00,68,0,Ci
11,144,2020-01-17 22:00,61,4,Cb
12,128,2020-01-17 23:00,58,2,Cb
13,93,2020-01-18 0:00,101,0,Cb
14,150,2020-01-18 1:00,65,7,Cb
15,118,2020-01-18 2:00,61,3,Cb
16,118,2020-01-18 3:00,59,0,Ci
17,117,2020-01-18 4:00,56,0,Ci
18,118,,53,0,Ci
19,114,2020-01-18 6:00,55,0,Ci
20,116,2020-01-18 7:00,61,0,Cb
21,115,2020-01-18 8:00,62,0,Cb
22,115,2020-01-18 9:00,65,0,Cb
23,108,2020-01-18 10:00,62,0,Cb
24,108,2020-01-18 11:00,52,0,Cb
25,105,,35,0,Cb
26,110,2020-01-18 13:00,32,0,Cb
27,110,2020-01-18 14:00,29,0,Cb
28,109,2020-01-18 15:00,32,0,Cb
29,110,2020-01-18 16:00,39,0,Cb
30,119,2020-01-18 17:00,35,0,Cb
31,118,2020-01-18 18:00,39,0,Cb
32,121,2020-01-18 19:00,49,0,Cb
33,,2020-01-18 20:00,62,0,Cb
34,125,2020-01-18 21:00,65,0,Cb
35,123,2020-01-18 22:00,65,1,Cb
36,120,2020-01-18 23:00,67,5,Cb
37,116,2020-01-19 0:00,65,0,Cb
38,114,2020-01-19 1:00,70,6,Cb
39,112,2020-01-19 2:00,67,6,Cb
40,300,2020-01-19 3:00,64,3,Sc
41,111,2020-01-19 4:00,66,0,Ci
42,109,2020-01-19 5:00,70,0,Ci
43,110,2020-01-19 6:00,71,9,Sc
44,108,2020-01-19 7:00,72,9,Sc
45,98,2020-01-19 8:00,72,9,Sc
46,109,2020-01-19 9:00,101,6,Sc
47,108,2020-01-19 10:00,78,5,Sc
48,103,2020-01-19 11:00,62,5,Sc
49,106,2020-01-19 12:00,63,6,Sc
50,109,2020-01-19 13:00,79,8,Sc
51,108,,69,4,Sc
52,108,2020-01-19 15:00,60,1,Sc
53,111,2020-01-19 16:00,60,1,Sc
54,116,2020-01-19 17:00,67,2,Sc
55,116,2020-01-19 18:00,61,0,Cb
56,99,2020-01-19 19:00,58,0,Cb
57,117,2020-01-19 20:00,59,0,Cb
58,115,2020-01-19 21:00,70,0,Cb
59,119,2020-01-19 22:00,69,0,Cb
60,115,2020-01-19 23:00,73,0,Cb
61,115,2020-01-20 0:00,12,1,Cb
62,142,2020-01-20 0:00,69,0,Cb
63,111,2020-01-20 2:00,58,9,Cb
64,111,2020-01-20 3:00,59,9,Sc
65,109,2020-01-20 4:00,60,7,Sc
66,109,2020-01-20 5:00,59,9,Sc
67,108,2020-01-20 6:00,64,1,Sc
68,108,2020-01-20 7:00,65,0,Cb
69,115,2020-01-20 8:00,76,0,Cb
70,120,2020-01-20 9:00,70,0,Cb
71,131,2020-01-20 10:00,57,0,Cb
72,139,2020-01-20 11:00,43,0,Cb
73,140,2020-01-20 12:00,101,0,Cb
74,138,2020-01-20 13:00,39,0,Cb
75,142.81,2020-01-20 14:00,48,6,Sc
76,139.62,2020-01-20 15:00,66,4,Sc
77,139.62,,38,3,Sc
78,139.62,2020-01-20 17:00,52,0,Cb
79,139.62,2020-01-20 18:00,57,0,Cb
80,139.62,2020-01-20 19:00,58,0,Cb
81,139.62,2020-01-20 20:00,46,0,Cb
82,139.62,2020-01-20 21:00,46,0,Cb
83,139.62,2020-01-20 22:00,45,0,Cb
84,139.62,2020-01-20 23:00,45,0,Cb
85,139.62,2020-01-21 0:00,51,0,Cb
86,150,2020-01-21 1:00,51,0,Cb
87,120,2020-01-21 2:00,56,0,Cb
88,114,2020-01-21 3:00,56,0,Cb
89,116,2020-01-21 4:00,52,0,Cb
90,115,2020-01-21 5:00,53,0,Cb
91,115,2020-01-21 6:00,53,0,Cb
92,116,2020-01-21 7:00,54,0,Cb
93,124,2020-01-21 8:00,58,0,Cb
94,126,2020-01-21 9:00,50,0,Cb
95,126,2020-01-21 10:00,42,0,Ci
96,141,2020-01-21 11:00,35,0,Ci
97,147,2020-01-21 12:00,35,0,Ci
98,145,2020-01-21 13:00,41,0,Ci
99,145,2020-01-21 14:00,39,0,Ci
100,138,2020-01-21 15:00,101,0,Ci
101,143,2020-01-21 16:00,39,0,Ci
102,143,2020-01-21 17:00,42,0,Ci
103,141,2020-01-21 18:00,57,0,Ci
104,139,2020-01-21 19:00,56,6,Cb
105,139,,59,8,Cb
106,121,2020-01-21 21:00,57,0,Ci
107,137,2020-01-21 22:00,58,7,Cb
108,127,2020-01-21 23:00,55,8,Cb
109,141.5,2020-01-22 0:00,52,9,As
110,105.5,2020-01-22 1:00,54,10,Cb
111,120,2020-01-22 2:00,51,10,Cb
112,117,2020-01-22 3:00,57,10,As
113,115,2020-01-22 4:00,54,10,As
114,117,2020-01-22 5:00,57,10,As
115,114,2020-01-22 6:00,56,10,As
116,118,2020-01-22 7:00,48,10,As
117,100,2020-01-22 8:00,48,10,As
118,124,2020-01-22 9:00,58,10,As
119,129,2020-01-22 10:00,52,4,Sc
120,144,2020-01-22 11:00,38,6,Sc
121,141,2020-01-22 12:00,30,5,Sc
122,178,2020-01-22 13:00,32,2,Sc
123,137,2020-01-22 14:00,30,0,Ci
124,127,2020-01-22 15:00,31,0,Ci
125,149,2020-01-22 16:00,43,0,Ci
126,141,,55,0,Ci
127,140,2020-01-22 18:00,65,0,Ci
128,141,2020-01-22 19:00,71,1,Cb
129,143,2020-01-22 20:00,71,8,Cb
130,135,2020-01-22 21:00,64,0,Ci
131,137,2020-01-22 22:00,55,9,Cb
132,126,2020-01-22 23:00,67,0,Cb
133,91,2020-01-23 0:00,66,3,Me
134,145,2020-01-23 1:00,66,9,Cb
135,115,2020-01-23 2:00,51,9,Cb
136,111,2020-01-23 3:00,53,0,Ci
137,110,2020-01-23 4:00,60,5,Me
138,111,2020-01-23 5:00,62,0,Ci
139,108,2020-01-23 6:00,65,0,Ci
140,114,2020-01-23 7:00,67,0,Cb
141,119,2020-01-23 8:00,67,0,Ci
142,124,2020-01-23 9:00,67,0,Ci
143,125,2020-01-23 10:00,57,0,Cb
144,139,2020-01-23 11:00,54,0,Cb
145,136,2020-01-23 12:00,51,0,Cb
146,142,2020-01-23 13:00,46,0,Ci
147,141,2020-01-23 14:00,42,0,Cb
148,143,2020-01-23 15:00,101,0,Ci
149,143,2020-01-23 16:00,52,0,Ci
150,146,,58,0,Ci
151,133,2020-01-23 18:00,60,0,Ci
152,134,2020-01-23 19:00,67,0,Cb
153,129,2020-01-23 20:00,68,0,Cb
154,121,2020-01-23 21:00,70,0,Ci
155,125,2020-01-23 22:00,73,0,Cb
156,117,2020-01-23 23:00,,0,Cb
157,115,2020-01-24 0:00,76,0,Ci
158,113,2020-01-24 1:00,77,0,Cb
159,112,2020-01-24 2:00,78,0,Cb
160,108,2020-01-24 3:00,81,0,Ci
161,111,2020-01-24 4:00,80,,Cb
162,,2020-01-24 5:00,80,0,Cb
163,108,2020-01-24 6:00,75,0,Cb
164,111,2020-01-24 7:00,78,0,Cb
165,110,2020-01-24 8:00,81,0,Cb
166,111,2020-01-24 9:00,79,0,Cb
167,99,2020-01-24 10:00,72,0,Ci
168,105,2020-01-24 11:00,66,0,Ci
,100,2020-01-24 12:00,63,0,Ci
170,106,2020-01-24 13:00,59,0,Ci
171,106,2020-01-24 14:00,56,0,Ci
172,105,2020-01-24 15:00,58,0,Ci
173,112,2020-01-24 16:00,52,0,Ci
174,112,,54,0,Ci
175,129,2020-01-24 18:00,55,0,Ci
176,121.5,2020-01-24 19:00,55,8,Cb
177,110.5,2020-01-24 20:00,55,8,Cb
178,96,2020-01-24 21:00,53,0,Ci
179,118,2020-01-24 22:00,54,9,Cb
180,119,2020-01-24 23:00,101,0,Cb
181,114,2020-01-25 0:00,59,0,Ci
182,111,2020-01-25 1:00,62,0,Cb
183,130,2020-01-25 2:00,63,0,Cb
184,104,2020-01-25 3:00,64,0,Ci
185,105,2020-01-25 4:00,64,0,Ci
186,103,2020-01-25 5:00,65,6,Sc
187,105,2020-01-25 6:00,66,9,Sc
188,103,2020-01-25 7:00,66,9,Sc
189,103,2020-01-25 8:00,67,9,Sc
190,104,2020-01-25 9:00,67,1,Sc
191,106,2020-01-25 10:00,63,0,Ci
192,98,2020-01-25 11:00,58,0,Ci
193,98,2020-01-25 12:00,62,0,Ci
194,103,2020-01-25 13:00,61,0,Ci
195,92,2020-01-25 14:00,58,0,Cs
196,112,2020-01-25 15:00,59,0,Cs
197,109,2020-01-25 16:00,64,0,Cs
198,111,2020-01-25 17:00,67,0,Cs
199,110,2020-01-25 18:00,69,0,Ci
200,112,2020-01-25 19:00,76,0,Cb
201,109,2020-01-25 20:00,83,0,Cb
202,109,2020-01-25 21:00,83,0,Ci
203,106,2020-01-25 22:00,72,0,Cb
204,109,2020-01-25 23:00,64,0,Cb
205,78,2020-01-26 0:00,65,0,Ci
206,129,2020-01-26 1:00,64,0,Cb
207,105,2020-01-26 2:00,101,0,Cb
208,111,2020-01-26 3:00,66,0,Ci
209,109,2020-01-26 4:00,66,0,Ci
210,108,2020-01-26 5:00,66,0,Ci
211,110,2020-01-26 6:00,70,0,Ci
212,109,2020-01-26 7:00,71,0,Ci
213,108,2020-01-26 8:00,74,0,Ci
214,111,2020-01-26 9:00,75,0,Ci
215,109,2020-01-26 10:00,68,0,Ci
216,102,2020-01-26 11:00,63,0,Ci
217,102,2020-01-26 12:00,53,0,Ci
218,100,2020-01-26 13:00,47,0,Ci
219,106,,44,0,Ci
220,106,2020-01-26 15:00,36,0,Ci
221,109,2020-01-26 16:00,34,0,Ci
222,116,2020-01-26 17:00,101,0,Ci
223,121,2020-01-26 18:00,43,0,Ci
224,123,2020-01-26 19:00,44,8,Cb
225,119,2020-01-26 20:00,45,4,Cb
226,120,2020-01-26 21:00,47,0,Ci
227,,2020-01-26 22:00,50,9,Cb
228,107,2020-01-26 23:00,52,9,Cb
229,131,2020-01-27 0:00,52,0,Ci
230,98,2020-01-27 1:00,52,10,Cb
231,113,2020-01-27 2:00,51,10,Cb
232,109,2020-01-27 3:00,49,0,Ci
233,110,2020-01-27 4:00,49,0,Ci
,110,2020-01-27 5:00,50,,Ci
235,111,2020-01-27 6:00,50,0,Ci
236,108,2020-01-27 7:00,49,0,Ci
237,112,2020-01-27 8:00,47,9,Me
238,111,2020-01-27 9:00,48,9,Me
239,96,2020-01-27 10:00,49,9,Me
240,113,2020-01-27 11:00,46,9,Me
241,114,2020-01-27 12:00,42,9,Me
242,116,2020-01-27 13:00,41,4,Sc
243,121,2020-01-27 14:00,43,6,Sc
244,154,2020-01-27 15:00,39,7,Sc
245,124,2020-01-27 16:00,40,4,Sc
246,123,2020-01-27 17:00,101,5,Sc
247,124,2020-01-27 18:00,59,7,Sc
248,128,2020-01-27 19:00,60,8,Sc
249,130,2020-01-27 20:00,77,8,St
250,129,2020-01-27 21:00,82,8,St
251,127,2020-01-27 22:00,73,5,Sc
252,122,2020-01-27 23:00,81,7,Sc
253,118.5,2020-01-28 0:00,80,8,Sc
254,123.5,2020-01-28 1:00,72,3,Sc
255,116,2020-01-28 2:00,72,2,Sc
256,119,2020-01-28 3:00,73,3,Sc
257,115,2020-01-28 4:00,74,1,Sc
258,118,2020-01-28 5:00,66,10,As
259,115,2020-01-28 6:00,67,10,As
260,119,2020-01-28 7:00,66,10,As
261,122,2020-01-28 8:00,65,10,As
262,127,2020-01-28 9:00,61,9,Me
263,134,2020-01-28 10:00,56,9,Me
264,153,2020-01-28 11:00,101,9,Me
265,159,2020-01-28 12:00,49,9,Me
266,156,2020-01-28 13:00,46,3,Sc
267,153,2020-01-28 14:00,42,2,Sc
268,149,2020-01-28 15:00,42,5,Sc
269,153,2020-01-28 16:00,43,6,Sc
270,152,2020-01-28 17:00,46,5,Sc
271,149,2020-01-28 18:00,51,4,Sc
272,152,2020-01-28 19:00,54,2,Cb
273,151,2020-01-28 20:00,56,1,Cb
274,149,2020-01-28 21:00,48,8,Sc
275,149,2020-01-28 22:00,52,4,Cb
276,141,2020-01-28 23:00,48,5,Cb
277,134.5,2020-01-29 0:00,53,2,Cb
278,128.5,2020-01-29 1:00,58,0,Cb
279,126,2020-01-29 2:00,63,1,Cb
280,124,2020-01-29 3:00,64,5,Sc
281,124,2020-01-29 4:00,65,3,Sc
282,123,2020-01-29 5:00,101,2,Me
283,127,2020-01-29 6:00,68,1,Me
284,122,2020-01-29 7:00,69,2,Me
285,126,2020-01-29 8:00,69,2,Me
286,134,2020-01-29 9:00,66,2,Me
287,141,2020-01-29 10:00,59,0,Ci
288,147,2020-01-29 11:00,56,2,Me
289,133,2020-01-29 12:00,48,0,Cs
290,142,2020-01-29 13:00,43,1,Sc
291,149,2020-01-29 14:00,46,2,Sc
292,144,2020-01-29 15:00,45,1,Sc
293,146,2020-01-29 16:00,52,2,Sc
294,143,2020-01-29 17:00,51,0,Ci
295,146,2020-01-29 18:00,58,4,Me
296,148,2020-01-29 19:00,62,2,Cb
297,149,2020-01-29 20:00,70,1,Cb
298,145,2020-01-29 21:00,73,3,Me
299,142,2020-01-29 22:00,72,2,Cb
300,114,2020-01-29 23:00,69,,Cb
301,131,2020-01-30 0:00,66,7,Cb
302,129,2020-01-30 1:00,64,6,Cb
303,123,2020-01-30 2:00,101,7,Cb
304,121,2020-01-30 3:00,73,7,Sc
305,150,,71,7,Sc
306,119,2020-01-30 5:00,73,8,Sc
307,119,2020-01-30 6:00,66,8,Sc
308,110,2020-01-30 7:00,65,7,Sc
309,133,2020-01-30 8:00,68,3,Sc
310,127,2020-01-30 9:00,63,0,Ci
311,129,2020-01-30 10:00,56,0,Ci
312,141,2020-01-30 11:00,55,0,Ci
313,143,2020-01-30 12:00,46,2,Sc
314,139,2020-01-30 13:00,45,5,Sc
315,139,2020-01-30 14:00,36,3,Sc
316,139,2020-01-30 15:00,37,4,Sc
317,138,2020-01-30 16:00,41,3,Sc
,145,2020-01-30 17:00,48,3,Sc
319,137,2020-01-30 18:00,55,2,Sc
320,142,2020-01-30 19:00,59,0,Cb
321,142,2020-01-30 20:00,63,0,Cb
322,138,2020-01-30 21:00,69,2,Sc
323,133,2020-01-30 22:00,72,0,Cb
324,129,2020-01-30 23:00,78,0,Cb
325,91,,70,4,Cb
326,147,2020-01-31 1:00,71,2,Cb
327,112,2020-01-31 2:00,80,1,Cb
328,116,2020-01-31 3:00,82,8,Sc
329,115,2020-01-31 4:00,81,7,Sc
330,113,2020-01-31 5:00,79,7,Sc
331,115,2020-01-31 6:00,80,5,Sc
332,114,2020-01-31 7:00,80,8,Sc
333,120,2020-01-31 8:00,83,5,Sc
334,125,2020-01-31 9:00,83,3,Sc
335,132,2020-01-31 10:00,78,1,Sc
336,136,2020-01-31 11:00,65,2,Sc
337,142,2020-01-31 12:00,60,1,Sc
338,136,2020-01-31 13:00,62,2,Sc
339,144,2020-01-31 14:00,59,2,Sc
340,146,2020-01-31 15:00,59,1,Sc
341,137,2020-01-31 16:00,62,1,Sc
342,138,2020-01-31 17:00,65,0,Cb
343,134,2020-01-31 18:00,69,0,Cb
344,133,2020-01-31 19:00,70,0,Cb
345,120,2020-01-31 20:00,101,0,Cb
346,122,2020-01-31 21:00,73,0,Ci
347,122,2020-01-31 22:00,78,0,Cb
348,116,2020-01-31 23:00,81,0,Cb
349,111,2020-02-01 0:00,82,0,Cb
350,118,2020-02-01 1:00,80,0,Cb
351,113,,78,0,Cb
352,114,2020-02-01 3:00,66,0,Cb
353,111,2020-02-01 4:00,74,0,Cb
,112,2020-02-01 5:00,79,0,Cb
355,111,2020-02-01 6:00,75,7,Sc
356,110,2020-02-01 7:00,72,9,Sc
357,,2020-02-01 8:00,72,9,Sc
358,112,2020-02-01 9:00,67,9,Sc
359,112,2020-02-01 10:00,65,9,Sc
360,108,2020-02-01 11:00,59,3,Sc
361,91,2020-02-01 12:00,56,3,Sc
362,108,2020-02-01 13:00,59,,Sc
363,110,2020-02-01 14:00,60,4,Sc
364,110,2020-02-01 15:00,59,4,Sc
365,116,2020-02-01 16:00,57,2,Sc
366,148,2020-02-01 17:00,66,1,Sc
367,125,2020-02-01 18:00,76,0,Cb
368,126,2020-02-01 19:00,77,0,Cb
369,123,2020-02-01 20:00,71,0,Cb
370,124,2020-02-01 21:00,68,0,Cb
371,119,2020-02-01 22:00,66,0,Cb
372,120,2020-02-01 23:00,69,0,Cb
373,116,2020-02-02 0:00,71,0,Cb
374,115,2020-02-02 1:00,60,0,Cb
375,107,2020-02-02 2:00,59,0,Cb
376,106,2020-02-02 3:00,57,0,Ci
377,107,2020-02-02 4:00,59,0,Ci
378,103,2020-02-02 5:00,60,0,Ci
379,105,2020-02-02 6:00,70,0,Ci
380,103,2020-02-02 7:00,62,0,Ci
381,105,2020-02-02 8:00,59,0,Ci
382,103,2020-02-02 9:00,58,0,Ci
383,25,2020-02-02 10:00,50,2,Me
384,0,2020-02-02 11:00,48,0,Ci
385,106,2020-02-02 12:00,45,0,Ci
386,87,2020-02-02 13:00,40,,Ci
387,85,2020-02-02 14:00,,0,Ci
388,91,2020-02-02 15:00,46,0,Ci
389,89,2020-02-02 16:00,101,0,Ci
390,101,2020-02-02 17:00,45,0,Ci
,74,2020-02-02 18:00,47,0,Ci
392,123,2020-02-02 19:00,50,8,Cb
393,,2020-02-02 20:00,47,7,Cb
394,105,2020-02-02 21:00,54,10,As
395,100,2020-02-02 22:00,56,8,Cb
396,100,2020-02-02 23:00,53,1,Cb
397,73,2020-02-03 0:00,63,7,Sc
398,115,2020-02-03 1:00,67,8,St
399,89,2020-02-03 2:00,75,4,St
400,88,2020-02-03 3:00,69,9,Sc
401,85,,63,9,Sc
402,82,2020-02-03 5:00,63,1,Sc
403,85,2020-02-03 6:00,60,0,Cb
404,86,2020-02-03 7:00,63,0,Cb
405,91,2020-02-03 8:00,63,0,Cb
406,94,2020-02-03 9:00,59,0,Cb
407,106,2020-02-03 10:00,55,0,Cb
408,90,2020-02-03 11:00,54,2,Sc
409,128,2020-02-03 12:00,44,1,Sc
410,124,2020-02-03 13:00,34,0,Cb
411,119,2020-02-03 14:00,42,0,Cb
412,121,2020-02-03 15:00,40,0,Cb
413,158,2020-02-03 16:00,35,0,Cb
414,131,2020-02-03 17:00,34,0,Cb
415,136,2020-02-03 18:00,36,0,Cb
416,133,2020-02-03 19:00,35,0,Cb
417,132,2020-02-03 20:00,38,0,Cb
418,129,2020-02-03 21:00,44,0,Cb
419,123,2020-02-03 22:00,50,0,Cb
420,121,2020-02-03 23:00,51,0,Cb
421,87,2020-02-04 0:00,52,0,Cb
422,130,2020-02-04 1:00,52,0,Cb
423,116,2020-02-04 2:00,53,0,Cb
424,105,2020-02-04 3:00,53,0,Cb
425,106,2020-02-04 4:00,49,0,Cb
426,106,2020-02-04 5:00,50,0,Cb
427,105,2020-02-04 6:00,49,0,Cb
428,106,2020-02-04 7:00,47,0,Cb
429,113,2020-02-04 8:00,50,0,Cb
430,112,2020-02-04 9:00,44,0,Cb
431,119,2020-02-04 10:00,48,0,Cb
432,132,2020-02-04 11:00,48,0,Cb
433,134,2020-02-04 12:00,50,2,Sc
434,133,2020-02-04 13:00,49,1,Sc
435,135,2020-02-04 14:00,55,8,Sc
436,135,2020-02-04 15:00,74,8,Sc
437,140,2020-02-04 16:00,77,7,Sc
438,141,2020-02-04 17:00,80,8,Sc
439,134,2020-02-04 18:00,87,8,Sc
440,135,2020-02-04 19:00,90,8,St
441,130,2020-02-04 20:00,83,8,Sc
442,127,2020-02-04 21:00,74,8,Sc
443,114,2020-02-04 22:00,69,9,Sc
444,126,2020-02-04 23:00,69,1,Cb
445,86,2020-02-05 0:00,54,0,Cb
446,136,2020-02-05 1:00,46,0,Cb
447,109,2020-02-05 2:00,101,0,Cb
448,106,2020-02-05 3:00,49,0,Cb
449,103,2020-02-05 4:00,48,0,Cb
450,,2020-02-05 5:00,45,0,Cb
451,80,2020-02-05 6:00,52,0,Cb
452,131,2020-02-05 7:00,,0,Cb
453,82,2020-02-05 8:00,40,0,Cb
454,142,2020-02-05 9:00,42,0,Cb
455,115,2020-02-05 10:00,40,0,Cb
456,123,2020-02-05 11:00,36,0,Cb
,120,2020-02-05 12:00,40,0,Cb
458,120,2020-02-05 13:00,35,0,Cb
459,120,2020-02-05 14:00,31,0,Cb
460,126,2020-02-05 15:00,32,0,Cb
461,129,2020-02-05 16:00,35,0,Cb
462,136,2020-02-05 17:00,37,0,Cb
463,130,2020-02-05 18:00,39,0,Cb
464,134,2020-02-05 19:00,45,0,Cb
465,129,,43,0,Cb
466,123,2020-02-05 21:00,49,0,Cb
467,118,2020-02-05 22:00,49,0,Cb
468,117,2020-02-05 23:00,48,0,Cb
469,119,2020-02-06 0:00,46,0,Cb
470,114.63,2020-02-06 1:00,46,0,Cb
471,102.5,2020-02-06 2:00,48,0,Cb
472,76.88,2020-02-06 3:00,50,0,Cb
473,105,2020-02-06 4:00,52,0,Cb
474,130,2020-02-06 5:00,52,0,Cb
475,104,2020-02-06 6:00,53,0,Cb
476,102,2020-02-06 7:00,55,0,Cb
477,112,2020-02-06 8:00,47,0,Cb
478,111,2020-02-06 9:00,43,0,Ci
479,120,2020-02-06 10:00,41,0,Ci
480,127,2020-02-06 11:00,42,0,Ci
481,123,2020-02-06 12:00,42,0,Ci
482,121,2020-02-06 13:00,42,0,Ci
483,129,2020-02-06 14:00,37,0,Ci
484,124,2020-02-06 15:00,32,0,Ci
485,141,2020-02-06 16:00,35,0,Ci
,134,2020-02-06 17:00,42,0,Ci
487,131,2020-02-06 18:00,45,0,Ci
488,133,2020-02-06 19:00,51,0,Cb
489,132,2020-02-06 20:00,52,0,Cb
490,118,2020-02-06 21:00,46,0,Cb
491,121,2020-02-06 22:00,101,0,Cb
492,,2020-02-06 23:00,50,0,Cb
493,79,2020-02-07 0:00,50,0,Cb
494,149,2020-02-07 1:00,53,0,Cb
495,109,,52,8,Cb
496,105,2020-02-07 3:00,51,8,Sc
497,103,2020-02-07 4:00,48,9,Sc
498,105,2020-02-07 5:00,47,8,Sc
499,104,2020-02-07 6:00,48,9,Sc
500,107,2020-02-07 7:00,55,9,Sc
501,110,2020-02-07 8:00,52,9,Sc
502,129,2020-02-07 9:00,49,7,Sc
503,96,2020-02-07 10:00,48,4,Sc
504,112,2020-02-07 11:00,37,7,Sc
505,128,2020-02-07 12:00,29,9,Sc
506,128,2020-02-07 13:00,31,9,Sc
507,133,2020-02-07 14:00,39,4,Sc
508,130,2020-02-07 15:00,47,9,Sc
509,150,2020-02-07 16:00,46,8,Sc
510,122,2020-02-07 17:00,52,4,Sc
511,139,2020-02-07 18:00,65,9,Sc
512,129,2020-02-07 19:00,68,1,Cb
513,124,2020-02-07 20:00,70,9,Cb
514,121,2020-02-07 21:00,73,9,Sc
515,89,2020-02-07 22:00,75,9,Sc
516,143,2020-02-07 23:00,76,9,Sc
517,85,2020-02-08 0:00,73,9,Cb
518,136,2020-02-08 1:00,74,9,Sc
519,110,2020-02-08 2:00,72,8,Cb
520,106,2020-02-08 3:00,71,9,Sc
521,104,2020-02-08 4:00,67,9,Sc
522,107,2020-02-08 5:00,62,9,Sc
523,104,2020-02-08 6:00,62,8,Sc
524,104,2020-02-08 7:00,67,7,Sc
525,106,2020-02-08 8:00,69,1,Sc
526,104,2020-02-08 9:00,61,3,Sc
527,101,2020-02-08 10:00,101,2,Sc
528,99,2020-02-08 11:00,57,0,Cb
529,97,2020-02-08 12:00,47,0,Cb
530,90,2020-02-08 13:00,42,0,Cb
531,83,2020-02-08 14:00,40,0,Cb
532,118,2020-02-08 15:00,40,0,Cb
533,104,2020-02-08 16:00,37,0,Cb
534,90,2020-02-08 17:00,39,0,Cb
535,136,2020-02-08 18:00,43,0,Cb
536,103,2020-02-08 19:00,45,0,Cb
537,126,2020-02-08 20:00,101,0,Cb
538,107,2020-02-08 21:00,50,0,Cb
539,123,2020-02-08 22:00,49,0,Cb
540,102,2020-02-08 23:00,56,0,Cb
541,83,2020-02-09 0:00,57,0,Cb
542,134,2020-02-09 1:00,57,0,Cb
543,104,2020-02-09 2:00,57,0,Cb
544,108,2020-02-09 3:00,59,0,Cb
545,104,2020-02-09 4:00,59,0,Cb
546,104,2020-02-09 5:00,59,0,Cb
547,105,2020-02-09 6:00,61,0,Cb
548,102,2020-02-09 7:00,67,0,Cb
549,103,2020-02-09 8:00,65,0,Cb
550,105,2020-02-09 9:00,59,0,Cb
551,99,2020-02-09 10:00,52,0,Cb
552,96,2020-02-09 11:00,45,0,Cb
553,94,2020-02-09 12:00,38,0,Cb
554,94,2020-02-09 13:00,36,1,Sc
555,98,2020-02-09 14:00,40,4,Sc
556,104,2020-02-09 15:00,44,5,Sc
557,101,2020-02-09 16:00,47,1,Sc
558,120,2020-02-09 17:00,53,0,Ci
559,103,2020-02-09 18:00,61,0,Ci
560,118,2020-02-09 19:00,68,0,Cb
561,116,2020-02-09 20:00,72,0,Cb
562,118,2020-02-09 21:00,73,4,Sc
563,124,2020-02-09 22:00,69,7,Cb
564,114,2020-02-09 23:00,71,2,Cb
565,114,2020-02-10 0:00,71,9,Cb
566,95,2020-02-10 1:00,74,9,Cb
567,112,2020-02-10 2:00,73,9,Cb
568,104,2020-02-10 3:00,72,9,Sc
569,95,2020-02-10 4:00,74,9,Sc
570,112,2020-02-10 5:00,76,2,Sc
571,104,2020-02-10 6:00,77,0,Cb
572,100,2020-02-10 7:00,77,0,Cb
573,85,2020-02-10 8:00,85,0,Cb
574,110,2020-02-10 9:00,82,0,Cb
575,113,2020-02-10 10:00,67,0,Ci
576,154,2020-02-10 11:00,51,0,Cb
577,126,2020-02-10 12:00,38,0,Cb
578,123,2020-02-10 13:00,34,0,Cb
579,129,2020-02-10 14:00,47,0,Cb
580,133,2020-02-10 15:00,43,0,Cb
581,134,2020-02-10 16:00,101,0,Cb
582,134,2020-02-10 17:00,39,0,Cb
583,130,2020-02-10 18:00,36,0,Cb
584,130,2020-02-10 19:00,44,0,Cb
585,128,2020-02-10 20:00,47,0,Cb
586,127,2020-02-10 21:00,45,0,Cb
587,124,2020-02-10 22:00,46,0,Cb
588,123,2020-02-10 23:00,43,0,Cb
589,124,2020-02-11 0:00,53,0,Cb
590,110,2020-02-11 1:00,49,0,Cb
591,86,2020-02-11 2:00,52,0,Cb
592,110,2020-02-11 3:00,54,0,Cb
593,111,2020-02-11 4:00,53,0,Cb
594,112,2020-02-11 5:00,57,0,Cb
595,111,2020-02-11 6:00,79,0,Cb
596,140,2020-02-11 7:00,61,0,Cb
597,115,2020-02-11 8:00,59,0,Cb
598,119,2020-02-11 9:00,53,0,Cb
599,120,2020-02-11 10:00,41,0,Cb
600,129,2020-02-11 11:00,32,0,Cb
601,127,2020-02-11 12:00,32,0,Cb
602,125,2020-02-11 13:00,24,0,Cb
603,125,2020-02-11 14:00,20,0,Cb
604,109,2020-02-11 15:00,22,0,Cb
605,136,2020-02-11 16:00,22,0,Cc
606,119,2020-02-11 17:00,27,0,Ci
607,141,2020-02-11 18:00,31,0,Ci
608,133,2020-02-11 19:00,33,0,Cb
609,128,2020-02-11 20:00,34,8,Cb
610,125,2020-02-11 21:00,36,0,Ci
611,121,2020-02-11 22:00,37,9,Cb
612,121,2020-02-11 23:00,37,9,Cb
613,115.67,2020-02-12 0:00,41,6,Sc
614,114.33,2020-02-12 1:00,38,9,Cb
615,110,2020-02-12 2:00,39,1,Cb
