자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리,나이
SPB-01182,2020-12-05 15:08,113,홍대입구역 2번출구 앞,24,2020-12-05 15:22,101,(구)합정동 주민센터,4,13,2300,29
SPB-11637,2020-12-05 15:35,103,망원역 2번출구 앞,4,2020-12-05 15:41,101,(구)합정동 주민센터,2,5,1110,320
SPB-17056,2020-12-05 16:54,106,합정역 7번출구 앞,7,2020-12-05 17:01,101,(구)합정동 주민센터,5,6,830,31
SPB-17169,2020-12-05 18:32,148,용강동 주민센터 앞,,2020-12-05 19:05,101,(구)합정동 주민센터,2,32,5440,24
SPB-03131,2020-12-05 18:34,226,샛강역 1번출구 앞,14,2020-12-05 19:10,101,(구)합정동 주민센터,1,35,6890,22
SPB-00122,2020-12-05 18:55,113,홍대입구역 2번출구 앞,25,2020-12-05 19:14,101,(구)합정동 주민센터,,19,2790,26
SPB-15851,2020-12-05 19:15,128,신촌역(2호선) 1번출구 옆,18,2020-12-05 19:34,101,(구)합정동 주민센터,1,18,3750,30
SPB-05526,2020-12-05 19:39,106,합정역 7번출구 앞,4,2020-12-05 19:46,101,(구)합정동 주민센터,2,6,920,58
SPB-03131,2020-12-05 19:44,106,합정역 7번출구 앞,4,2020-12-05 19:48,101,(구)합정동 주민센터,1,3,890,42
SPB-05526,2020-12-05 19:50,101,(구)합정동 주민센터,2,2020-12-05 20:03,101,(구)합정동 주민센터,4,12,1570,21
SPB-06179,2020-12-05 20:13,267,삼성화재 사옥 옆,1,2020-12-05 20:26,101,(구)합정동 주민센터,2,12,2380,41
SPB-07887,2020-12-05 20:22,104,합정역 1번출구 앞,6,2020-12-05 20:30,101,(구)합정동 주민센터,3,,770,31
SPB-08747,2020-12-05 20:37,115,사루비아 빌딩 앞,15,2020-12-05 20:53,101,(구)합정동 주민센터,5,16,2670,44
SPB-21427,2020-12-05 20:50,826,서울역 서부교차로2,20,2020-12-05 21:19,101,(구)합정동 주민센터,5,27,6100,22
SPB-12849,2020-12-05 22:32,102,망원역 1번출구 앞,7,2020-12-05 22:40,101,(구)합정동 주민센터,1,7,1120,21
SPB-12120,2020-12-05 22:23,391,정동길입구,4,2020-12-05 23:02,101,(구)합정동 주민센터,3,38,6330,39
SPB-12825,2020-12-05 23:45,103,망원역 2번출구 앞,7,2020-12-05 23:51,101,(구)합정동 주민센터,1,5,790,36
SPB-06785,2020-12-06 0:32,105,합정역 5번출구 앞,1,2020-12-06 0:47,101,(구)합정동 주민센터,5,14,1360,24
SPB-15349,2020-12-06 1:14,104,합정역 1번출구 앞,,2020-12-06 1:20,101,(구)합정동 주민센터,1,5,1040,42
SPB-24484,2020-12-06 1:19,137,NH농협 신촌지점 앞,4,2020-12-06 1:35,101,(구)합정동 주민센터,3,16,3840,32
SPB-11364,2020-12-06 2:17,154,마포구청역,2,2020-12-06 2:26,101,(구)합정동 주민센터,5,9,1630,38
SPB-07767,2020-12-06 2:52,115,사루비아 빌딩 앞,4,2020-12-06 3:08,101,(구)합정동 주민센터,5,14,1710,54
SPB-16514,2020-12-06 5:11,106,합정역 7번출구 앞,2,2020-12-06 5:18,101,(구)합정동 주민센터,1,6,820,25
SPB-25390,2020-12-06 10:49,409,누리꿈스퀘어 옆,14,2020-12-06 11:36,101,(구)합정동 주민센터,1,46,6980,27
SPB-08265,2020-12-06 14:24,104,합정역 1번출구 앞,2,2020-12-06 14:53,101,(구)합정동 주민센터,1,28,,28
SPB-24767,2020-12-06 14:54,106,합정역 7번출구 앞,6,2020-12-06 15:21,101,(구)합정동 주민센터,4,27,810,26
SPB-01372,2020-12-06 15:34,104,합정역 1번출구 앞,,2020-12-06 15:43,101,(구)합정동 주민센터,2,8,1230,42
SPB-04854,2020-12-06 14:07,104,합정역 1번출구 앞,5,2020-12-06 15:54,101,(구)합정동 주민센터,5,106,3110,23
SPB-21518,2020-12-06 16:00,116,일진아이윌아파트 옆,3,2020-12-06 16:49,101,(구)합정동 주민센터,,46,3980,22
SPB-22668,2020-12-06 16:02,116,일진아이윌아파트 옆,3,2020-12-06 16:50,101,(구)합정동 주민센터,4,46,42070,22
SPB-07402,2020-12-06 16:45,151,망원1동주민센터,1,2020-12-06 16:59,101,(구)합정동 주민센터,3,,1250,41
SPB-10270,2020-12-06 16:41,151,망원1동주민센터,2,2020-12-06 16:59,101,(구)합정동 주민센터,4,16,1080,27
SPB-18146,2020-12-06 17:20,826,서울역 서부교차로2,14,2020-12-06 17:51,101,(구)합정동 주민센터,5,30,6930,26
SPB-24483,2020-12-06 17:29,272,당산육갑문,3,2020-12-06 17:58,101,(구)합정동 주민센터,2,28,4680,24
SPB-22746,2020-12-06 18:03,115,사루비아 빌딩 앞,9,2020-12-06 18:17,101,(구)합정동 주민센터,2,13,2210,22
SPB-08676,2020-12-06 18:25,108,서교동 사거리,4,2020-12-06 18:48,101,(구)합정동 주민센터,1,20,2570,22
SPB-07205,2020-12-06 18:30,175,홍연2교옆,18,2020-12-06 18:52,101,(구)합정동 주민센터,1,21,6750,36
SPB-08676,2020-12-06 18:51,101,(구)합정동 주민센터,1,2020-12-06 19:11,101,(구)합정동 주민센터,1,17,1320,22
SPB-07205,2020-12-06 20:24,101,(구)합정동 주민센터,1,2020-12-06 20:41,101,(구)합정동 주민센터,1,16,1470,37
SPB-07402,2020-12-06 19:54,101,(구)합정동 주민센터,3,2020-12-06 21:01,101,(구)합정동 주민센터,4,65,2280,27
SPB-04854,2020-12-06 19:52,101,(구)합정동 주민센터,5,2020-12-06 21:01,101,(구)합정동 주민센터,2,,2300,220
SPB-08676,2020-12-06 19:53,101,(구)합정동 주민센터,,2020-12-06 21:13,101,(구)합정동 주민센터,1,69,2230,26
SPB-12120,2020-12-06 20:30,419,홈플러스 앞,15,2020-12-06 21:14,101,(구)합정동 주민센터,5,44,4200,43
SPB-03614,2020-12-06 20:28,419,홈플러스 앞,,2020-12-06 21:15,101,(구)합정동 주민센터,,46,5720,24
SPB-06590,2020-12-06 21:00,182,망원2빗물펌프장 앞,2,2020-12-06 21:23,101,(구)합정동 주민센터,1,22,2580,21
SPB-07497,2020-12-06 21:22,3102,연희삼거리,9,2020-12-06 21:41,101,(구)합정동 주민센터,5,17,3410,34
SPB-22287,2020-12-06 22:56,112,극동방송국 앞,2,2020-12-06 23:09,101,(구)합정동 주민센터,2,12,1610,42
SPB-23827,2020-12-06 23:14,113,홍대입구역 2번출구 앞,11,2020-12-06 23:26,101,(구)합정동 주민센터,3,11,1850,60
SPB-11003,2020-12-06 23:45,102,망원역 1번출구 앞,9,2020-12-06 23:52,101,(구)합정동 주민센터,2,6,,21
SPB-09782,2020-12-06 23:35,129,신촌역(2호선) 6번출구 옆,2,2020-12-06 23:55,101,(구)합정동 주민센터,5,18,3080,40
SPB-17282,2020-12-06 23:56,113,홍대입구역 2번출구 앞,11,2020-12-07 0:07,101,(구)합정동 주민센터,3,11,2270,24
SPB-22781,2020-12-06 23:26,113,홍대입구역 2번출구 앞,10,2020-12-07 0:09,101,(구)합정동 주민센터,5,42,4630,22
SPB-11651,2020-12-06 23:54,228,선유도역 3번출구 앞,8,2020-12-07 0:09,101,(구)합정동 주민센터,3,15,2290,23
SPB-17117,2020-12-07 0:08,102,망원역 1번출구 앞,10,2020-12-07 0:17,101,(구)합정동 주민센터,2,9,1110,31
SPB-22287,2020-12-07 8:56,101,(구)합정동 주민센터,2,2020-12-07 9:28,101,(구)합정동 주민센터,1,30,1410,33
SPB-01372,2020-12-07 9:48,182,망원2빗물펌프장 앞,7,2020-12-07 10:48,101,(구)합정동 주민센터,4,59,4370,22
SPB-15238,2020-12-07 10:29,139,연세대 정문 건너편,12,2020-12-07 10:53,101,(구)합정동 주민센터,2,24,3820,21
SPB-10191,2020-12-07 11:56,105,합정역 5번출구 앞,,2020-12-07 12:35,101,(구)합정동 주민센터,4,38,1610,24
SPB-10735,2020-12-07 12:15,106,합정역 7번출구 앞,10,2020-12-07 12:41,101,(구)합정동 주민센터,1,25,2180,27
SPB-07497,2020-12-07 12:46,151,망원1동주민센터,4,2020-12-07 12:54,101,(구)합정동 주민센터,5,7,1080,21
SPB-05156,2020-12-07 14:04,103,망원역 2번출구 앞,8,2020-12-07 14:40,101,(구)합정동 주민센터,5,35,1140,27
SPB-23965,2020-12-07 14:39,152,마포구민체육센터 앞,28,2020-12-07 14:46,101,(구)합정동 주민센터,1,6,1100,37
SPB-21140,2020-12-07 15:38,104,합정역 1번출구 앞,10,2020-12-07 15:46,101,(구)합정동 주민센터,1,7,0,25
SPB-21140,2020-12-07 16:09,106,합정역 7번출구 앞,9,2020-12-07 16:14,101,(구)합정동 주민센터,2,4,0,24
SPB-18241,2020-12-07 14:26,2103,신림동 우방아파트,3,2020-12-07 16:27,101,(구)합정동 주민센터,4,121,17060,24
SPB-14209,2020-12-07 14:26,2103,신림동 우방아파트,1,2020-12-07 16:28,101,(구)합정동 주민센터,1,121,16910,46
